"url","Prettylink","Prettylink_link","Contentblock","Contentlink","Contentlink_link","Contentimg","Contentimg_alt","Contentimg_link"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","Rick Golding","https://twitter.com/clinchmtn316","Walk This One Back #DeplorableHillary ....I DARE YOU #BasketOfDeplorables #NeverHillary #MAGA pic.twitter.com/RJUv0s2DuK","Based Leah ✌ 🌵 🇺🇸 🎸‏ @LeahR77; 10 Sep 2016; #DeplorableHillary; #BasketOfDeplorables; #NeverHillary; #MAGA; pic.twitter.com/RJUv0s2DuK","https://twitter.com/LeahR77; https://twitter.com/LeahR77/status/774680115921977345; https://twitter.com/hashtag/DeplorableHillary?src=hash; https://twitter.com/hashtag/BasketOfDeplorables?src=hash; https://twitter.com/hashtag/NeverHillary?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/RJUv0s2DuK","https://pbs.twimg.com/profile_images/831399134254993408/_glYFy9L_bigger.jpg","","https://twitter.com/LeahR77"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","","","Oooo I love the red one for Nov 8th. #BasketOfDeplorables #MAGA https://twitter.com/teamcombover16/status/774754897770139648 …","#Jodes‏ @KrajacicJodi; 10 Sep 2016; #BasketOfDeplorables; #MAGA; https://twitter.com/teamcombover16/status/774754897770139648 …","https://twitter.com/KrajacicJodi; https://twitter.com/KrajacicJodi/status/774759130183692288; https://twitter.com/hashtag/BasketOfDeplorables?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/5hmdBuvhMt","https://pbs.twimg.com/profile_images/858275465416585216/k32WJIpw_bigger.jpg; https://pbs.twimg.com/media/CsB7d68UAAAi5gA.jpg","; ","https://twitter.com/KrajacicJodi; "
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","","","#ThePartyIsOverWhen Bill Clinton resorts to playing mind games with racists remarks he said! #MAGA","State Of America‏ @America_Again_; 10 Sep 2016; #ThePartyIsOverWhen; #MAGA","https://twitter.com/America_Again_; https://twitter.com/America_Again_/status/774759304326946817; https://twitter.com/hashtag/ThePartyIsOverWhen?src=hash; https://twitter.com/hashtag/MAGA?src=hash","https://pbs.twimg.com/profile_images/798945196964794368/bgMI2fNy_bigger.jpg","","https://twitter.com/America_Again_"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","","","Lies on top of lies on top of LIES. #DEPLORABLE #MAGA #TRUMP2016 #TrumpTrainpic.twitter.com/Fx1AyqQyFA","Atheists For Trump‏ @AtheistForTrump; 10 Sep 2016; #DEPLORABLE; #MAGA; #TRUMP2016; #TrumpTrain; pic.twitter.com/Fx1AyqQyFA","https://twitter.com/AtheistForTrump; https://twitter.com/AtheistForTrump/status/774759178061615104; https://twitter.com/hashtag/DEPLORABLE?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/TRUMP2016?src=hash; https://twitter.com/hashtag/TrumpTrain?src=hash; https://t.co/Fx1AyqQyFA","https://pbs.twimg.com/profile_images/755780409280135169/QClBDYPA_bigger.jpg; https://pbs.twimg.com/media/CsB_NooXgAAER_p.jpg","; ","https://twitter.com/AtheistForTrump; "
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","","","So we're a #BasketOfDeplorables for loving America? #AltRightMeans putting the American people FIRST! #MAGA pic.twitter.com/oALmmn6Gjk","Soldier of Kek‏ @WokeAmericans; 10 Sep 2016; #BasketOfDeplorables; #AltRightMeans; #MAGA; pic.twitter.com/oALmmn6Gjk","https://twitter.com/WokeAmericans; https://twitter.com/WokeAmericans/status/774759295015591936; https://twitter.com/hashtag/BasketOfDeplorables?src=hash; https://twitter.com/hashtag/AltRightMeans?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/oALmmn6Gjk","https://pbs.twimg.com/profile_images/821096256747536386/20YXzt21_bigger.jpg; https://pbs.twimg.com/media/CsB_aBvXYAA3e0S.jpg","; ","https://twitter.com/WokeAmericans; "
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","","","Been there, done that. Hooah! #Army #veterans #maga pic.twitter.com/tUBJkC2nOm","ConVenn‏ @Con_Venn; 10 Sep 2016; #Army; #veterans; #maga; pic.twitter.com/tUBJkC2nOm","https://twitter.com/Con_Venn; https://twitter.com/Con_Venn/status/774759356554293249; https://twitter.com/hashtag/Army?src=hash; https://twitter.com/hashtag/veterans?src=hash; https://twitter.com/hashtag/maga?src=hash; https://t.co/tUBJkC2nOm","https://pbs.twimg.com/profile_images/2295977861/IMG_0021_bigger.JPG; https://pbs.twimg.com/media/CsB6zX-UEAAnTtM.jpg","; ","https://twitter.com/Con_Venn; "
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","Powerglobal","https://twitter.com/powerglobalus","#Hillary is completely unqualified to be president. Unbelievable that anyone would still vote for her. #MAGA pic.twitter.com/ca42C11yCb","Steve Hirsch‏ @Stevenwhirsch99; 10 Sep 2016; #Hillary; #MAGA; pic.twitter.com/ca42C11yCb","https://twitter.com/Stevenwhirsch99; https://twitter.com/Stevenwhirsch99/status/774706868614795264; https://twitter.com/hashtag/Hillary?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/ca42C11yCb","https://pbs.twimg.com/profile_images/853255678986682368/yQEGy-W2_bigger.jpg; https://pbs.twimg.com/media/CsBPyS9WgAE5NIj.jpg","; ","https://twitter.com/Stevenwhirsch99; "
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","Beth Ann Comans","https://twitter.com/BethComans","Rush Limbaugh: Liberalism Is ‘Killing The NFL’ #TCOT #WakeUpAmerica #MAGA #PJNEThttp://www.westernjournalism.com/rush-limbaugh-liberalism-is-killing-the-nfl/ …","Joey Brooklyn‏ @Joe_America1776; 10 Sep 2016; #TCOT; #WakeUpAmerica; #MAGA; #PJNET; http://www.westernjournalism.com/rush-limbaugh-liberalism-is-killing-the-nfl/ …","https://twitter.com/Joe_America1776; https://twitter.com/Joe_America1776/status/774758588950704128; https://twitter.com/hashtag/TCOT?src=hash; https://twitter.com/hashtag/WakeUpAmerica?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/PJNET?src=hash; https://t.co/Nnh26oYLgB","https://pbs.twimg.com/profile_images/620621503822868480/HQhnzY2C_bigger.jpg","","https://twitter.com/Joe_America1776"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","PooberKitty","https://twitter.com/PooberKitty","b/c #ICANN in USA we can pop up a website in hours if #NTIA transfer>#IANA we will be charged & regulated! #MAGA #DChttps://twitter.com/NetworksManager/status/773133604935393280 …","Bruce Porter, Jr.‏ @NetworksManager; 6 Sep 2016; @NetworksManager; #ICANN; #NTIA; #IANA; #MAGA; #DC; https://twitter.com/NetworksManager/status/773133604935393280 …","https://twitter.com/NetworksManager; https://twitter.com/NetworksManager/status/773136895526203392; https://twitter.com/NetworksManager; https://twitter.com/hashtag/ICANN?src=hash; https://twitter.com/hashtag/NTIA?src=hash; https://twitter.com/hashtag/IANA?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/DC?src=hash; https://t.co/j1LAx2vqZC","https://pbs.twimg.com/profile_images/854422612310708226/yq8sdVz0_bigger.jpg","","https://twitter.com/NetworksManager"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","live","https://twitter.com/25BeachLady","Always support our #Veterans and our #Military w/ @realDonaldTrump - they will #MAGA by their courage and sacrifice https://twitter.com/justanavywife/status/774671290955333632 …","General Flynn‏Verified account @GenFlynn; 10 Sep 2016; #Veterans; #Military; @realDonaldTrump; #MAGA; https://twitter.com/justanavywife/status/774671290955333632 …","https://twitter.com/GenFlynn; https://twitter.com/GenFlynn/status/774706821940514816; https://twitter.com/hashtag/Veterans?src=hash; https://twitter.com/hashtag/Military?src=hash; https://twitter.com/realDonaldTrump; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/ngRRmUDHXc","https://pbs.twimg.com/profile_images/836614721726001152/tc1LJ2XF_bigger.jpg; https://pbs.twimg.com/media/CsAuC5GWEAADA_J.jpg; https://abs.twimg.com/emoji/v2/72x72/2764.png","; ; ❤️","https://twitter.com/GenFlynn; ; "
