"url","Contentblock","Contentlink","Contentlink_link","Contentimg","Contentimg_alt","Contentimg_link"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","How do you intend this fucking idiot, ask respect?. Is this real?. Oh, gosh... #ImWithHer. #StrongerTogether. #NeverTrump. #FuckTrump.","Phoebe Andrades‏ @PhoebeAndrades; 10 Sep 2016; #ImWithHer; #StrongerTogether; #NeverTrump; #FuckTrump","https://twitter.com/PhoebeAndrades; https://twitter.com/PhoebeAndrades/status/774759141306933248; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/StrongerTogether?src=hash; https://twitter.com/hashtag/NeverTrump?src=hash; https://twitter.com/hashtag/FuckTrump?src=hash","https://pbs.twimg.com/profile_images/857462004130471936/Lp5Z3iTF_bigger.jpg","","https://twitter.com/PhoebeAndrades"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","I've been tired of those damn emails since we started talking about those damn emails. #ImWithHer #UniteBluehttps://twitter.com/victoriacliett1/status/774097458368425987 …","WVWC Young Dems‏ @wvwc_youngdems; 10 Sep 2016; #ImWithHer; #UniteBlue; https://twitter.com/victoriacliett1/status/774097458368425987 …","https://twitter.com/wvwc_youngdems; https://twitter.com/wvwc_youngdems/status/774758888012910596; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/UniteBlue?src=hash; https://t.co/NB81JuOaT1","https://pbs.twimg.com/profile_images/659461859100217344/OHdT_CYx_bigger.jpg; https://pbs.twimg.com/media/Cr4lZU6UMAEjpKK.jpg","; ","https://twitter.com/wvwc_youngdems; "
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","...as opposed to the #BasketOfDeplorables your father has successfully courted? #ImWithHer pic.twitter.com/eq1egdVpnI","GoodGuyWithTheGun?‏ @notguncrazy; 10 Sep 2016; @EricTrump; #BasketOfDeplorables; #ImWithHer; pic.twitter.com/eq1egdVpnI","https://twitter.com/notguncrazy; https://twitter.com/notguncrazy/status/774759185833754624; https://twitter.com/EricTrump; https://twitter.com/hashtag/BasketOfDeplorables?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://t.co/eq1egdVpnI","https://pbs.twimg.com/profile_images/756689405159481346/LpZ4xmwg_bigger.jpg; https://pbs.twimg.com/media/CsB_XvsXgAQUXvE.jpg","; ","https://twitter.com/notguncrazy; "
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","Good Evening Washington DC - Tim Kaine is here to meet you! Go team Hillary! #ImWithHer #HillaryClinton #nevertrumppic.twitter.com/HWQjuQTpjS","MadamePresident 16‏ @haveyouseenbill; 10 Sep 2016; #ImWithHer; #HillaryClinton; #nevertrump; pic.twitter.com/HWQjuQTpjS","https://twitter.com/haveyouseenbill; https://twitter.com/haveyouseenbill/status/774758438626848769; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/HillaryClinton?src=hash; https://twitter.com/hashtag/nevertrump?src=hash; https://t.co/HWQjuQTpjS","https://pbs.twimg.com/profile_images/745659949024444416/1f_DXlUZ_bigger.jpg; https://pbs.twimg.com/media/CsB-sP-WAAA8Mej.jpg","; ","https://twitter.com/haveyouseenbill; "
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","Hillary Clinton isn't just the only reasonable candidate. She's exactly the one we need. #ImWithHer pic.twitter.com/I7cP3wWl6d","GraceinHeights; LydiaJ #DemForce‏ @Lydia4Hillary; 5 Sep 2016; #ImWithHer; pic.twitter.com/I7cP3wWl6d","https://twitter.com/GraceinHeights; https://twitter.com/Lydia4Hillary; https://twitter.com/Lydia4Hillary/status/772912464421871616; https://twitter.com/hashtag/ImWithHer?src=hash; https://t.co/I7cP3wWl6d","https://pbs.twimg.com/profile_images/846174218425372672/BiNwaHWE_bigger.jpg; https://pbs.twimg.com/media/Crnvyf8XgAQgEXU.jpg","; ","https://twitter.com/Lydia4Hillary; "
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","And that's why #ImWithHer. (Not because I want #TacoTrucksOnEveryCorner - which I do - but this is more important.)https://twitter.com/HRC/status/774758792021934080 …","Rebekah-Nasty-N-Grey‏ @TornadoesBoreMe; 10 Sep 2016; #ImWithHer; #TacoTrucksOnEveryCorner; https://twitter.com/HRC/status/774758792021934080 …","https://twitter.com/TornadoesBoreMe; https://twitter.com/TornadoesBoreMe/status/774759324677648384; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/TacoTrucksOnEveryCorner?src=hash; https://t.co/pQef90EOFq","https://pbs.twimg.com/profile_images/671406089389281280/hJ8SB0u2_bigger.png","","https://twitter.com/TornadoesBoreMe"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","reason #ImWithHer Always strong, always looking fwd, always staying for/ with ppl. https://twitter.com/NanPitre/status/774758516842049536 …","ach‏ @Tolya_WA; 10 Sep 2016; #ImWithHer; https://twitter.com/NanPitre/status/774758516842049536 …","https://twitter.com/Tolya_WA; https://twitter.com/Tolya_WA/status/774759261922471936; https://twitter.com/hashtag/ImWithHer?src=hash; https://t.co/0pozgcxt0i","https://pbs.twimg.com/profile_images/705851756052291585/7OIYRqoh_bigger.jpg","","https://twitter.com/Tolya_WA"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","We must never forget how he really feels! #NeverTrump #ImWithHer PLEASE RT https://twitter.com/MariaLiaCalvo/status/774706439709265921 …","Brian Yeagle‏ @byeagle37; 10 Sep 2016; #NeverTrump; #ImWithHer; https://twitter.com/MariaLiaCalvo/status/774706439709265921 …","https://twitter.com/byeagle37; https://twitter.com/byeagle37/status/774759260173500416; https://twitter.com/hashtag/NeverTrump?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://t.co/Xhwgpi9wz4","https://pbs.twimg.com/profile_images/796466772639707137/Bu8K6Z6q_bigger.jpg; https://pbs.twimg.com/media/CsBPZeHWEAARuXW.jpg","; ","https://twitter.com/byeagle37; "
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","#BasketOfDeplorables ain't INSULT but fact. Calling ppl RAPIST more offensive. #ImWithHer","Hardey‏ @Hardeyaddra; 10 Sep 2016; @bitchylaughter; @realDonaldTrump; @HillaryClinton; #BasketOfDeplorables; #ImWithHer","https://twitter.com/Hardeyaddra; https://twitter.com/Hardeyaddra/status/774759119840481280; https://twitter.com/bitchylaughter; https://twitter.com/realDonaldTrump; https://twitter.com/HillaryClinton; https://twitter.com/hashtag/BasketOfDeplorables?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash","https://pbs.twimg.com/profile_images/840258578959196160/deEzZrJs_bigger.jpg","","https://twitter.com/Hardeyaddra"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","EXCLUSIVE: Trump didn't get post-9/11 funds for helping people http://nydn.us/2cu9amG This is horrible. It's stealing. Read it! #ImWithHer","Nancy Siegel‏ @siegel_nancy; 10 Sep 2016; http://nydn.us/2cu9amG; #ImWithHer","https://twitter.com/siegel_nancy; https://twitter.com/siegel_nancy/status/774759118297042944; https://t.co/aMQhfxprTn; https://twitter.com/hashtag/ImWithHer?src=hash","https://pbs.twimg.com/profile_images/823037002232856576/t4dJyKVF_bigger.jpg","","https://twitter.com/siegel_nancy"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","Why must those in the public eye be more careful choosing their words than one must be when diffusing a bomb... except for Trump? #ImWithHer","Doctor Tronik‏ @doctortronik; 10 Sep 2016; #ImWithHer","https://twitter.com/doctortronik; https://twitter.com/doctortronik/status/774759061858287616; https://twitter.com/hashtag/ImWithHer?src=hash","https://pbs.twimg.com/profile_images/1161178231/avatar_bigger.jpg","","https://twitter.com/doctortronik"
